case_path	tier	decision	closure_files	page_scripts	worker_scripts	fixture_files	dynamic_handlers	worker_imports	intentional_missing	blocker	notes
service-workers/service-worker/activate-event-after-install-state-change.https.html	A-static	keep-first	6	resources/testharness.js;resources/testharnessreport.js;service-workers/service-worker/resources/test-helpers.sub.js	service-workers/service-worker/resources/empty-worker.js	service-workers/service-worker/resources/blank.html	none	none	none	none	none
service-workers/service-worker/activation-after-registration.https.html	A-static	keep-first	6	resources/testharness.js;resources/testharnessreport.js;service-workers/service-worker/resources/test-helpers.sub.js	service-workers/service-worker/resources/empty-worker.js	service-workers/service-worker/resources/blank.html	none	none	none	none	none
service-workers/service-worker/install-event-type.https.html	B-advanced-events	defer-after-core	7	resources/testharness.js;resources/testharnessreport.js;service-workers/service-worker/resources/test-helpers.sub.js;service-workers/service-worker/resources/testharness-helpers.js	service-workers/service-worker/resources/install-event-type-worker.js	none	none	resources/testharness.js;service-workers/service-worker/resources/worker-testharness.js	none	worker-testharness-result-channel	none
service-workers/service-worker/onactivate-script-error.https.html	B-advanced-events	defer-after-core	10	resources/testharness.js;resources/testharnessreport.js;service-workers/service-worker/resources/test-helpers.sub.js;service-workers/service-worker/resources/testharness-helpers.js	service-workers/service-worker/resources/onactivate-throw-error-from-nested-event-worker.js;service-workers/service-worker/resources/onactivate-throw-error-then-cancel-worker.js;service-workers/service-worker/resources/onactivate-throw-error-then-prevent-default-worker.js;service-workers/service-worker/resources/onactivate-throw-error-with-empty-onerror-worker.js;service-workers/service-worker/resources/onactivate-throw-error-worker.js	none	none	none	none	error-event-and-nested-dispatch	none
service-workers/service-worker/oninstall-script-error.https.html	B-advanced-events	defer-after-core	11	resources/testharness.js;resources/testharnessreport.js;service-workers/service-worker/resources/test-helpers.sub.js;service-workers/service-worker/resources/testharness-helpers.js	service-workers/service-worker/resources/oninstall-throw-error-from-nested-event-worker.js;service-workers/service-worker/resources/oninstall-throw-error-then-cancel-worker.js;service-workers/service-worker/resources/oninstall-throw-error-then-prevent-default-worker.js;service-workers/service-worker/resources/oninstall-throw-error-with-empty-onerror-worker.js;service-workers/service-worker/resources/oninstall-throw-error-worker.js;service-workers/service-worker/resources/oninstall-waituntil-throw-error-worker.js	none	none	none	none	error-event-and-nested-dispatch	none
service-workers/service-worker/register-default-scope.https.html	A-static	keep-first	7	resources/testharness.js;resources/testharnessreport.js;service-workers/service-worker/resources/test-helpers.sub.js;service-workers/service-worker/resources/testharness-helpers.js	service-workers/service-worker/resources/empty-worker.js;service-workers/service-worker/resources/empty.js	none	none	none	none	none	unused-simple-fetch-worker-literal
service-workers/service-worker/registration-basic.https.html	A-static	keep-first	5	resources/testharness.js;resources/testharnessreport.js;service-workers/service-worker/resources/test-helpers.sub.js	service-workers/service-worker/resources/registration-worker.js	none	none	none	none	none	none
service-workers/service-worker/registration-scope.https.html	A-static	keep-first	6	resources/testharness.js;resources/testharnessreport.js;service-workers/service-worker/resources/registration-tests-scope.js;service-workers/service-worker/resources/test-helpers.sub.js	service-workers/service-worker/resources/empty-worker.js	none	none	none	none	none	none
service-workers/service-worker/registration-script-url.https.html	A-static	keep-first	6	resources/testharness.js;resources/testharnessreport.js;service-workers/service-worker/resources/registration-tests-script-url.js;service-workers/service-worker/resources/test-helpers.sub.js	service-workers/service-worker/resources/empty-worker.js	none	none	none	none	none	none
service-workers/service-worker/registration-script.https.html	C-server-fixture	remove-first	8	resources/testharness.js;resources/testharnessreport.js;service-workers/service-worker/resources/registration-tests-script.js;service-workers/service-worker/resources/test-helpers.sub.js	none	none	service-workers/service-worker/resources/invalid-chunked-encoding-with-flush.py;service-workers/service-worker/resources/invalid-chunked-encoding.py;service-workers/service-worker/resources/malformed-worker.py	none	service-workers/service-worker/resources/no-such-worker.js	python-response-handler-and-invalid-chunking	none
service-workers/service-worker/registration-service-worker-attributes.https.html	A-static	keep-first	5	resources/testharness.js;resources/testharnessreport.js;service-workers/service-worker/resources/test-helpers.sub.js	service-workers/service-worker/resources/empty-worker.js	none	none	none	none	none	none
service-workers/service-worker/rejections.https.html	A-static	keep-first	3	resources/testharness.js;resources/testharnessreport.js	none	none	none	none	none	none	pre-fetch-origin-rejection
