source_path	manifest_sha	subtests	decision	hidden_dependencies	rationale
service-workers/service-worker/add-routes.https.html	fbab7cdedfa388d8dbd47e1887beb2a02fd18721	1	skip-static-routing-lifecycle	InstallEvent.addRoutes;MessageChannel;install;activate	验证 addRoutes 仅可在 installing 期间调用
service-workers/service-worker/static-router-cross-origin-navigation.https.html	0413bccfbd8e93a38d27d786e4f87a8206a5d711	1	skip-static-routing-cross-origin-cache	InstallEvent.addRoutes;CacheAPI;cross-origin;two-iframes;postMessage	远端 iframe 注册路由并从动态 cache.html 完成跨源 navigation
service-workers/service-worker/static-router-invalid-rules.https.html	958d74374d8c1bb2ade47fe1bf85f7fc39d1706f	8	skip-static-routing-validation	InstallEvent.addRoutes;URLPattern;rule-limits;module-worker;MessageChannel	验证 method、condition 深度、rule 数量与缺字段错误
service-workers/service-worker/static-router-main-resource.https.html	71bc0697f9c08c84873a2e651d748dc01000b870	9	skip-static-routing-main-resource	InstallEvent.addRoutes;CacheAPI;URLPattern;iframe;navigation;MessageChannel	主资源在 network/cache/fetch fallback 与 not/ignoreCase 条件间路由
service-workers/service-worker/static-router-mutiple-conditions.https.html	3d69411843c2b74b73e7a30fd45f320a995b82eb	2	skip-static-routing-multi-condition	InstallEvent.addRoutes;URLPattern;request-mode;method;destination;dynamic-server	验证 search/mode/method/destination 多条件 AND
service-workers/service-worker/static-router-no-fetch-handler.https.html	4dbbbe69c7dfe9e1ce68f6e94de0d6cf8a432611	3	skip-static-routing-no-fetch	InstallEvent.addRoutes;CacheAPI;no-fetch-handler;MessageChannel	无 fetch handler 时验证 cache source 及非法 fetch-event/race source
service-workers/service-worker/static-router-race-network-and-fetch-handler.https.html	6bc2fff1d874fff4fcf73811048ddf12287169ec	8	skip-static-routing-race	InstallEvent.addRoutes;network-fetch-race;busy-wait;dynamic-server;iframe	主/子资源比较 network 与 fetch handler 胜负、204 与 404 fallback
service-workers/service-worker/static-router-request-destination.https.html	55ad6da31aad1058d9707bd63867142a80a9743c	2	skip-static-routing-destination	InstallEvent.addRoutes;request-destination;script;style;iframe	按 script destination 绕过 fetch handler，style 保持 fetch
service-workers/service-worker/static-router-request-method.https.html	8e219532a3e653ce88ed083079f44b41a91fa08d	4	skip-static-routing-method	InstallEvent.addRoutes;GET;POST;PUT;DELETE;dynamic-server;iframe	四种 HTTP method 分别匹配 network source
service-workers/service-worker/static-router-subresource.https.html	ab05a3d25282473d5425d9086ef76a132fa2c5da	18	skip-static-routing-subresource	InstallEvent.addRoutes;URLPattern;CacheAPI;cross-origin;fetch;iframe	子资源覆盖 URLPattern/request/or/not/network/cache 及跨源匹配
service-workers/service-worker/tentative/static-router/static-router-resource-timing.https.html	5046c9a4e7c25fcb098d52640f05e90d712d72a0	14	skip-static-routing-performance	InstallEvent.addRoutes;PerformanceResourceTiming;CacheAPI;race;fetch;dynamic-server	验证 matched/final router source 与 router/cache/worker timing 扩展字段
