# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /tmp/oracle-shots-all
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
|---------|------|----------|----------|
| css_CSS2_abspos_abspos-containing-block-initial-007_xht | self-pass | 0.00% | 0.25% |
| css_CSS2_abspos_hypothetical-box-dynamic_html | POLLUTED | 0.00% | 1.01% |
| css_CSS2_abspos_hypothetical-inline-alone-on-second-line_html | self-pass | 0.00% | 0.85% |
| css_CSS2_abspos_static-inside-inline-block_html | POLLUTED | 0.00% | 2.02% |
| css_CSS2_backgrounds_background-001_xht | POLLUTED | 0.00% | 1.24% |
| css_CSS2_backgrounds_background-003_xht | POLLUTED | 0.00% | 1.09% |
| css_CSS2_backgrounds_background-026_xht | POLLUTED | 0.00% | 1.59% |
| css_CSS2_backgrounds_background-030_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-043_xht | self-fail | 0.76% | 3.35% |
| css_CSS2_backgrounds_background-087_xht | self-pass | 0.00% | 0.96% |
| css_CSS2_backgrounds_background-090_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-130_xht | POLLUTED | 0.00% | 1.10% |
| css_CSS2_backgrounds_background-326_xht | self-pass | 0.00% | 0.75% |
| css_CSS2_backgrounds_background-328_xht | self-pass | 0.00% | 0.91% |
| css_CSS2_backgrounds_background-329_xht | POLLUTED | 0.00% | 1.07% |
| css_CSS2_backgrounds_background-attachment-009_xht | self-pass | 0.43% | 0.92% |
| css_CSS2_backgrounds_background-attachment-applies-to-001_xht | self-fail | 29.92% | 31.04% |
| css_CSS2_backgrounds_background-bg-pos-204_xht | POLLUTED | 0.05% | 1.12% |
| css_CSS2_backgrounds_background-bg-pos-208_xht | POLLUTED | 0.05% | 1.36% |
| css_CSS2_borders_border-001_xht | self-fail | 2.77% | 0.75% |
| css_CSS2_borders_border-003_xht | self-fail | 0.74% | 0.71% |
| css_CSS2_borders_border-005_xht | self-pass | 0.00% | 0.85% |
| css_CSS2_borders_border-006_xht | self-pass | 0.00% | 0.86% |
| css_CSS2_borders_border-applies-to-001_xht | self-fail | 0.61% | 0.97% |
| css_CSS2_borders_border-bottom-001_xht | self-pass | 0.00% | 0.66% |
