# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
|---------|------|----------|----------|
| css_css-text_bidi_bidi-lines-001_html | POLLUTED | 0.42% | 3.57% |
| css_css-text_bidi_bidi-lines-002_html | self-fail | 0.61% | 2.70% |
| css_css-text_bidi_bidi-tab-001_html | POLLUTED | 0.00% | 4.13% |
| css_css-text_bidi_empty-span-001_html | self-fail | 1.31% | 1.70% |
| css_css-text_boundary-shaping_boundary-shaping-001_html | self-pass | 0.28% | 0.35% |
| css_css-text_boundary-shaping_boundary-shaping-002_html | self-pass | 0.17% | 0.34% |
| css_css-text_boundary-shaping_boundary-shaping-003_html | self-pass | 0.21% | 0.36% |
| css_css-text_boundary-shaping_boundary-shaping-004_html | self-pass | 0.17% | 0.35% |
| css_css-text_boundary-shaping_boundary-shaping-005_html | self-pass | 0.15% | 0.35% |
| css_css-text_boundary-shaping_boundary-shaping-006_html | self-pass | 0.20% | 0.32% |
| css_css-text_boundary-shaping_boundary-shaping-007_html | self-pass | 0.20% | 0.37% |
| css_css-text_boundary-shaping_boundary-shaping-008_html | self-pass | 0.17% | 0.35% |
| css_css-text_boundary-shaping_boundary-shaping-009_html | self-fail | 4.47% | 5.80% |
| css_css-text_boundary-shaping_boundary-shaping-010_html | self-pass | 0.24% | 0.37% |
| css_css-text_hanging-punctuation_hanging-punctuation-allow-end-001_xht | self-fail | 7.12% | 11.59% |
| css_css-text_hanging-punctuation_hanging-punctuation-allow-end-basic_html | self-fail | 0.78% | 1.64% |
| css_css-text_hanging-punctuation_hanging-punctuation-allow-end-inlines_html | self-fail | 1.03% | 3.98% |
| css_css-text_hanging-punctuation_hanging-punctuation-allow-end_html | self-fail | 1.58% | 3.26% |
| css_css-text_hanging-punctuation_hanging-punctuation-block-bound-001_html | self-fail | 6.29% | 6.88% |
| css_css-text_hanging-punctuation_hanging-punctuation-first-001_xht | self-fail | 6.85% | 10.69% |
| css_css-text_hanging-punctuation_hanging-punctuation-first-002_html | self-pass | 0.00% | 0.87% |
| css_css-text_hanging-punctuation_hanging-punctuation-first-and-last-together_html | self-fail | 2.14% | 1.78% |
| css_css-text_hanging-punctuation_hanging-punctuation-first-ascii-quote_html | self-pass | 0.00% | 0.67% |
| css_css-text_hanging-punctuation_hanging-punctuation-first-rtl_html | self-fail | 0.61% | 15.36% |
| css_css-text_hanging-punctuation_hanging-punctuation-first-whitespace_html | POLLUTED | 0.00% | 7.22% |
| css_css-text_hanging-punctuation_hanging-punctuation-first_html | POLLUTED | 0.00% | 7.22% |
| css_css-text_hanging-punctuation_hanging-punctuation-force-end-001_xht | self-fail | 7.12% | 11.59% |
| css_css-text_hanging-punctuation_hanging-punctuation-inline-001_html | POLLUTED | 0.33% | 1.89% |
| css_css-text_hanging-punctuation_hanging-punctuation-inline-bound-001_html | self-fail | 11.01% | 11.34% |
| css_css-text_hanging-punctuation_hanging-punctuation-last-001_xht | self-fail | 7.11% | 10.10% |
| css_css-text_hanging-punctuation_hanging-punctuation-last-ascii-quote_html | self-pass | 0.00% | 0.49% |
| css_css-text_hanging-punctuation_hanging-punctuation-last-rtl_html | POLLUTED | 0.00% | 2.64% |
| css_css-text_hanging-punctuation_hanging-punctuation-last-whitespace_html | POLLUTED | 0.00% | 1.12% |
| css_css-text_hanging-punctuation_hanging-punctuation-last_html | POLLUTED | 0.00% | 1.12% |
| css_css-text_hanging-punctuation_hanging-punctuation-variable-font-size_html | self-fail | 0.91% | 2.13% |
| css_css-text_hanging-punctuation_hanging-punctuation-with-bidi_html | POLLUTED | 0.00% | 3.11% |
| css_css-text_hanging-punctuation_hanging-scrollable-001_html | self-pass | 0.09% | 0.66% |
| css_css-text_hyphens_hyphenate-character-001_html | POLLUTED | 0.30% | 2.21% |
| css_css-text_hyphens_hyphenate-character-002_html | POLLUTED | 0.22% | 2.09% |
| css_css-text_hyphens_hyphenate-character-003_html | POLLUTED | 0.30% | 1.90% |
| css_css-text_hyphens_hyphenate-character-004_html | POLLUTED | 0.31% | 1.90% |
| css_css-text_hyphens_hyphenate-character-005_html | self-fail | 0.50% | 2.03% |
| css_css-text_hyphens_hyphenate-limit-chars-001_html | self-fail | 1.07% | 1.30% |
| css_css-text_hyphens_hyphens-auto-001_html | self-fail | 2.55% | 3.09% |
| css_css-text_hyphens_hyphens-auto-002_html | self-fail | 2.48% | 3.32% |
| css_css-text_hyphens_hyphens-auto-003_html | POLLUTED | 0.40% | 2.91% |
| css_css-text_hyphens_hyphens-auto-control_html | self-fail | 0.74% | 1.28% |
| css_css-text_hyphens_hyphens-character_html | self-pass | 0.25% | 0.40% |
| css_css-text_hyphens_hyphens-manual-010_html | POLLUTED | 0.00% | 4.03% |
| css_css-text_hyphens_hyphens-manual-inline-010_html | self-fail | 1.27% | 5.21% |
| css_css-text_hyphens_hyphens-none-011_html | POLLUTED | 0.17% | 4.03% |
| css_css-text_hyphens_hyphens-none-012_html | self-fail | 0.80% | 1.21% |
