# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
|---------|------|----------|----------|
| css_CSS2_abspos_abspos-containing-block-initial-004a_xht | self-fail | 8.73% | 97.90% |
| css_CSS2_abspos_abspos-containing-block-initial-004b_xht | self-fail | 8.73% | 97.90% |
| css_CSS2_abspos_abspos-containing-block-initial-004c_xht | self-fail | 8.73% | 97.90% |
| css_CSS2_abspos_abspos-containing-block-initial-004d_xht | self-fail | 8.73% | 97.90% |
| css_CSS2_abspos_abspos-containing-block-initial-004e_xht | self-fail | 7.33% | 99.71% |
| css_CSS2_abspos_abspos-containing-block-initial-004f_xht | self-fail | 7.33% | 99.71% |
| css_CSS2_abspos_abspos-containing-block-initial-005a_xht | self-fail | 17.00% | 97.00% |
| css_CSS2_abspos_abspos-containing-block-initial-005b_xht | self-fail | 17.00% | 97.00% |
| css_CSS2_abspos_abspos-containing-block-initial-005c_xht | self-fail | 17.00% | 97.00% |
| css_CSS2_abspos_abspos-containing-block-initial-005d_xht | self-fail | 17.00% | 97.00% |
| css_CSS2_abspos_abspos-containing-block-initial-007_xht | self-pass | 0.00% | 0.25% |
| css_CSS2_abspos_abspos-containing-block-initial-009a_xht | self-fail | 4.67% | 5.92% |
| css_CSS2_abspos_abspos-containing-block-initial-009b_xht | self-fail | 4.67% | 5.92% |
| css_CSS2_abspos_abspos-containing-block-initial-009e_xht | self-fail | 2.83% | 2.96% |
| css_CSS2_abspos_abspos-containing-block-initial-009f_xht | self-fail | 2.92% | 0.00% |
| css_CSS2_abspos_between-float-and-text_html | self-fail | 8.33% | 9.16% |
| css_CSS2_abspos_hypothetical-box-dynamic_html | POLLUTED | 0.07% | 1.01% |
| css_CSS2_abspos_hypothetical-inline-alone-on-second-line_html | self-pass | 0.00% | 0.85% |
| css_CSS2_abspos_remove-block-between-inline-and-abspos_html | self-fail | 11.46% | 12.29% |
| css_CSS2_abspos_static-fixed-inside-abspos_html | self-fail | 1.04% | 1.78% |
| css_CSS2_abspos_static-inside-inline-001_html | self-pass | 0.00% | 0.83% |
| css_CSS2_abspos_static-inside-inline-002_html | self-fail | 2.08% | 1.66% |
| css_CSS2_abspos_static-inside-inline-003_html | self-pass | 0.00% | 0.83% |
| css_CSS2_abspos_static-inside-inline-block_html | POLLUTED | 0.00% | 2.02% |
| css_CSS2_abspos_static-inside-table-cell_html | self-fail | 4.17% | 4.96% |
| css_CSS2_abspos_table-caption-is-containing-block-001_html | self-pass | 0.00% | 0.83% |
| css_CSS2_abspos_table-caption-passes-abspos-up-001_html | self-pass | 0.00% | 0.83% |
| css_CSS2_backgrounds_background-001_xht | POLLUTED | 0.00% | 1.24% |
| css_CSS2_backgrounds_background-002_xht | POLLUTED | 0.00% | 1.24% |
| css_CSS2_backgrounds_background-003_xht | POLLUTED | 0.00% | 1.09% |
| css_CSS2_backgrounds_background-004_xht | self-pass | 0.00% | 0.55% |
| css_CSS2_backgrounds_background-005_xht | self-pass | 0.00% | 0.55% |
| css_CSS2_backgrounds_background-006_xht | POLLUTED | 0.00% | 1.24% |
| css_CSS2_backgrounds_background-007_xht | POLLUTED | 0.00% | 1.24% |
| css_CSS2_backgrounds_background-008_xht | POLLUTED | 0.00% | 1.24% |
| css_CSS2_backgrounds_background-009_xht | POLLUTED | 0.00% | 1.24% |
| css_CSS2_backgrounds_background-010_xht | POLLUTED | 0.00% | 1.24% |
| css_CSS2_backgrounds_background-014_xht | POLLUTED | 0.00% | 1.24% |
| css_CSS2_backgrounds_background-016_xht | self-pass | 0.00% | 0.55% |
| css_CSS2_backgrounds_background-017_xht | self-pass | 0.00% | 0.55% |
| css_CSS2_backgrounds_background-018_xht | POLLUTED | 0.00% | 1.24% |
| css_CSS2_backgrounds_background-020_xht | self-pass | 0.00% | 0.55% |
| css_CSS2_backgrounds_background-021_xht | self-pass | 0.00% | 0.55% |
| css_CSS2_backgrounds_background-022_xht | POLLUTED | 0.00% | 1.24% |
| css_CSS2_backgrounds_background-024_xht | self-pass | 0.00% | 0.55% |
| css_CSS2_backgrounds_background-025_xht | self-pass | 0.00% | 0.55% |
| css_CSS2_backgrounds_background-026_xht | POLLUTED | 0.00% | 1.59% |
| css_CSS2_backgrounds_background-029_xht | POLLUTED | 0.00% | 1.59% |
| css_CSS2_backgrounds_background-030_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-031_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-033_xht | self-pass | 0.00% | 0.74% |
