# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: $HOME/work/ZeroWeb/target/reftest-dump
# oracle: $HOME/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
|---------|------|----------|----------|
| css_css-flexbox_align-baseline_html | self-fail | 0.51% | 1.30% |
| css_css-flexbox_align-content-wrap-004_html | self-fail | 1.07% | 1.85% |
| css_css-flexbox_align-content_center_html | POLLUTED | 0.00% | 5.03% |
| css_css-flexbox_align-content_flex-end_html | self-fail | 1.59% | 5.06% |
| css_css-flexbox_align-content_flex-start_html | self-fail | 0.89% | 5.01% |
| css_css-flexbox_align-content_space-around_html | POLLUTED | 0.00% | 6.41% |
| css_css-flexbox_align-content_space-between_html | POLLUTED | 0.00% | 6.45% |
| css_css-flexbox_align-content_stretch_html | POLLUTED | 0.00% | 5.85% |
| css_css-flexbox_align-items-006_html | self-pass | 0.00% | 0.82% |
| css_css-flexbox_align-items-007_html | self-fail | 1.21% | 2.04% |
| css_css-flexbox_align-items-008_html | self-fail | 2.08% | 2.91% |
| css_css-flexbox_align-items-009_html | self-fail | 4.11% | 4.75% |
| css_css-flexbox_align-items-baseline-overflow-non-visible_html | self-pass | 0.17% | 0.34% |
| css_css-flexbox_align-self-001_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_align-self-002_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_align-self-003_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_align-self-004_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_align-self-005_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_align-self-007_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_align-self-008_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_align-self-009_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_align-self-011_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_align-self-012_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_align-self-013_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_align-self-015_html | POLLUTED | 0.00% | 16.61% |
| css_css-flexbox_align-self-016_html | self-fail | 4.17% | 5.02% |
| css_css-flexbox_anonymous-block_html | POLLUTED | 0.21% | 1.83% |
| css_css-flexbox_anonymous-flex-item-001_html | POLLUTED | 0.22% | 1.02% |
| css_css-flexbox_anonymous-flex-item-002_html | POLLUTED | 0.22% | 1.02% |
| css_css-flexbox_anonymous-flex-item-003_html | POLLUTED | 0.22% | 1.02% |
| css_css-flexbox_anonymous-flex-item-004_html | POLLUTED | 0.20% | 1.00% |
| css_css-flexbox_anonymous-flex-item-005_html | POLLUTED | 0.20% | 1.00% |
| css_css-flexbox_anonymous-flex-item-006_html | POLLUTED | 0.20% | 1.00% |
| css_css-flexbox_anonymous-flex-item-restyle_html | self-fail | 4.17% | 4.96% |
| css_css-flexbox_aspect-ratio-intrinsic-size-001_html | self-fail | 15.71% | 15.67% |
| css_css-flexbox_aspect-ratio-intrinsic-size-002_html | self-fail | 9.62% | 9.58% |
| css_css-flexbox_aspect-ratio-intrinsic-size-003_html | self-fail | 15.71% | 15.67% |
| css_css-flexbox_aspect-ratio-intrinsic-size-004_html | self-fail | 9.62% | 9.58% |
| css_css-flexbox_aspect-ratio-intrinsic-size-005_html | self-fail | 2.08% | 2.72% |
| css_css-flexbox_aspect-ratio-intrinsic-size-006_html | self-fail | 15.71% | 15.67% |
| css_css-flexbox_aspect-ratio-intrinsic-size-007_html | self-fail | 97.68% | 97.68% |
| css_css-flexbox_aspect-ratio-intrinsic-size-008_html | self-fail | 15.71% | 15.67% |
| css_css-flexbox_aspect-ratio-intrinsic-size-009_html | self-fail | 15.71% | 15.67% |
| css_css-flexbox_aspect-ratio-intrinsic-size-010_html | self-fail | 15.71% | 15.67% |
| css_css-flexbox_aspect-ratio-intrinsic-size-011_html | self-fail | 8.17% | 8.80% |
| css_css-flexbox_aspect-ratio-intrinsic-size-014_html | self-fail | 8.17% | 8.80% |
| css_css-flexbox_aspect-ratio-transferred-max-size_html | self-fail | 2.08% | 2.72% |
| css_css-flexbox_auto-height-column-with-border-and-padding_html | POLLUTED | 0.00% | 7.97% |
| css_css-flexbox_auto-height-with-flex_html | self-pass | 0.32% | 0.67% |
| css_css-flexbox_auto-margins-002_html | POLLUTED | 0.00% | 1.87% |
| css_css-flexbox_auto-margins-003_html | self-fail | 2.37% | 6.83% |
| css_css-flexbox_baseline-outside-flex-item_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_baseline-synthesis-001_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_baseline-synthesis-002_html | self-fail | 1.56% | 2.37% |
| css_css-flexbox_baseline-synthesis-003_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_baseline-synthesis-004_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_baseline-synthesis-vert-lr-line-under_html | self-fail | 0.52% | 1.34% |
| css_css-flexbox_break-nested-float-in-flex-item-001-print_html | self-pass | 0.00% | 0.00% |
| css_css-flexbox_break-nested-float-in-flex-item-002-print_html | self-pass | 0.00% | 0.00% |
| css_css-flexbox_canvas-contain-size_html | self-fail | 2.08% | 2.72% |
| css_css-flexbox_column-flex-child-with-max-width_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_content-height-with-scrollbars_html | self-fail | 6.26% | 17.49% |
| css_css-flexbox_cross-axis-scrollbar_html | self-fail | 7.88% | 19.11% |
| css_css-flexbox_css-box-justify-content_html | self-fail | 4.64% | 2.04% |
| css_css-flexbox_css-flexbox-height-animation-stretch_html | POLLUTED | 0.00% | 2.87% |
| css_css-flexbox_css-flexbox-img-expand-evenly_html | POLLUTED | 0.10% | 3.69% |
| css_css-flexbox_css-flexbox-row-reverse-wrap-reverse_html | self-fail | 0.69% | 2.20% |
| css_css-flexbox_css-flexbox-row-reverse-wrap_html | self-fail | 0.61% | 2.12% |
| css_css-flexbox_css-flexbox-row-reverse_html | self-fail | 0.69% | 2.20% |
| css_css-flexbox_css-flexbox-row-wrap-reverse_html | self-fail | 1.21% | 2.72% |
| css_css-flexbox_css-flexbox-row-wrap_html | self-fail | 0.85% | 2.43% |
| css_css-flexbox_css-flexbox-row_html | self-fail | 1.23% | 2.75% |
| css_css-flexbox_css-flexbox-test1_html | POLLUTED | 0.00% | 2.16% |
| css_css-flexbox_dynamic-baseline-change-nested_html | self-pass | 0.02% | 0.49% |
| css_css-flexbox_dynamic-baseline-change_html | self-pass | 0.02% | 0.49% |
| css_css-flexbox_dynamic-change-simplified-layout-002_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_dynamic-change-simplified-layout_html | self-fail | 1.46% | 2.27% |
| css_css-flexbox_dynamic-isize-change-001_html | self-pass | 0.10% | 0.62% |
| css_css-flexbox_dynamic-isize-change-002_html | self-fail | 1.04% | 1.85% |
| css_css-flexbox_dynamic-isize-change-003_html | self-fail | 1.04% | 1.85% |
| css_css-flexbox_dynamic-isize-change-004_html | self-fail | 3.12% | 3.93% |
| css_css-flexbox_dynamic-orthogonal-flex-item_html | self-fail | 2.08% | 2.76% |
| css_css-flexbox_dynamic-stretch-change_html | self-fail | 2.08% | 2.76% |
| css_css-flexbox_empty-flex-box-and-margin-collapsing_html | self-pass | 0.00% | 0.67% |
| css_css-flexbox_fieldset-as-item-dynamic_html | self-fail | 2.08% | 2.72% |
| css_css-flexbox_fieldset-as-item-overflow_html | self-pass | 0.00% | 0.31% |
| css_css-flexbox_fieldset-baseline-alignment_html | self-pass | 0.20% | 0.48% |
| css_css-flexbox_fit-content-item-001_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_fit-content-item-002_html | self-fail | 2.08% | 2.72% |
| css_css-flexbox_fit-content-item-003_html | self-fail | 2.08% | 2.72% |
| css_css-flexbox_fit-content-item-004_html | self-pass | 0.00% | 0.67% |
| css_css-flexbox_fixed-table-layout-with-percentage-width-in-flex-item_html | self-fail | 11.20% | 11.20% |
| css_css-flexbox_flex-abspos-inset-cross-size-001_html | POLLUTED | 0.00% | 17.45% |
| css_css-flexbox_flex-abspos-inset-nested-001_html | self-fail | 8.33% | 9.02% |
| css_css-flexbox_flex-abspos-inset-nested-002_html | self-fail | 18.75% | 19.44% |
| css_css-flexbox_flex-align-content-center_html | POLLUTED | 0.46% | 1.26% |
| css_css-flexbox_flex-align-content-end_html | self-fail | 6.89% | 6.78% |
| css_css-flexbox_flex-align-content-space-around_html | self-fail | 0.60% | 2.04% |
| css_css-flexbox_flex-align-content-space-between_html | POLLUTED | 0.50% | 1.87% |
| css_css-flexbox_flex-align-content-start_html | self-fail | 8.50% | 5.14% |
| css_css-flexbox_flex-aspect-ratio-content-box-padding-001_html | self-pass | 0.00% | 0.00% |
| css_css-flexbox_flex-aspect-ratio-cross-size-001_html | POLLUTED | 0.00% | 17.45% |
| css_css-flexbox_flex-aspect-ratio-cross-size-002_html | self-fail | 2.08% | 3.00% |
| css_css-flexbox_flex-aspect-ratio-img-column-001_html | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-aspect-ratio-img-column-002_html | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-aspect-ratio-img-column-003_html | POLLUTED | 0.00% | 2.89% |
| css_css-flexbox_flex-aspect-ratio-img-column-004_html | self-fail | 1.04% | 1.60% |
| css_css-flexbox_flex-aspect-ratio-img-column-005_html | POLLUTED | 0.00% | 2.87% |
| css_css-flexbox_flex-aspect-ratio-img-column-006_html | self-fail | 1.25% | 1.29% |
| css_css-flexbox_flex-aspect-ratio-img-column-007_html | POLLUTED | 0.42% | 1.25% |
| css_css-flexbox_flex-aspect-ratio-img-column-008_html | self-fail | 1.02% | 1.29% |
| css_css-flexbox_flex-aspect-ratio-img-column-009_html | self-fail | 1.67% | 1.71% |
| css_css-flexbox_flex-aspect-ratio-img-column-010_html | self-fail | 4.58% | 4.84% |
| css_css-flexbox_flex-aspect-ratio-img-column-012_html | self-pass | 0.00% | 0.67% |
| css_css-flexbox_flex-aspect-ratio-img-column-013_html | self-fail | 2.08% | 2.72% |
