# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
|---------|------|----------|----------|
| css_css-fonts_alternates-order_html | POLLUTED | 0.00% | 13.62% |
| css_css-fonts_ascent-descent-override_html | self-pass | 0.23% | 0.23% |
| css_css-fonts_downloadable-font-in-iframe-print_html | self-pass | 0.00% | 0.04% |
| css_css-fonts_downloadable-font-print_html | self-pass | 0.00% | 0.07% |
| css_css-fonts_downloadable-font-scoped-to-document_html | POLLUTED | 0.00% | 1.47% |
| css_css-fonts_first-available-font-001_html | POLLUTED | 0.00% | 4.46% |
| css_css-fonts_first-available-font-002_html | POLLUTED | 0.00% | 1.86% |
| css_css-fonts_first-available-font-003_html | POLLUTED | 0.00% | 1.07% |
| css_css-fonts_first-available-font-004_html | POLLUTED | 0.00% | 1.07% |
| css_css-fonts_first-available-font-005_html | self-pass | 0.00% | 0.52% |
| css_css-fonts_first-available-font-006_html | self-pass | 0.00% | 0.52% |
| css_css-fonts_first-available-font-007_html | self-pass | 0.04% | 0.48% |
| css_css-fonts_font-colorization_html | POLLUTED | 0.00% | 2.03% |
| css_css-fonts_font-default-01_html | POLLUTED | 0.11% | 1.94% |
| css_css-fonts_font-default-02_html | POLLUTED | 0.22% | 2.49% |
| css_css-fonts_font-default-03_html | POLLUTED | 0.00% | 2.49% |
| css_css-fonts_font-face-local-not-family_html | POLLUTED | 0.00% | 6.81% |
| css_css-fonts_font-face-sign-function_html | self-pass | 0.00% | 0.34% |
| css_css-fonts_font-face-stretch-auto-static_html | self-pass | 0.00% | 0.26% |
| css_css-fonts_font-face-stretch-auto-variable_html | POLLUTED | 0.00% | 1.18% |
| css_css-fonts_font-face-stretch-default-variable_html | self-pass | 0.00% | 0.69% |
| css_css-fonts_font-face-style-auto-static_html | self-pass | 0.00% | 0.26% |
| css_css-fonts_font-face-style-auto-variable_html | self-pass | 0.00% | 0.79% |
| css_css-fonts_font-face-style-default-variable_html | self-pass | 0.00% | 0.52% |
| css_css-fonts_font-face-unicode-range-2_html | self-fail | 1.69% | 5.06% |
| css_css-fonts_font-face-unicode-range-nbsp_html | self-fail | 0.80% | 1.55% |
| css_css-fonts_font-face-weight-auto-static_html | self-pass | 0.00% | 0.34% |
| css_css-fonts_font-face-weight-auto-variable_html | POLLUTED | 0.00% | 1.24% |
