# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
|---------|------|----------|----------|
| css_css-text-decor_line-through-vertical_html | self-pass | 0.00% | 0.95% |
| css_css-text-decor_ruby-text-decoration-01_html | self-fail | 0.71% | 0.59% |
| css_css-text-decor_text-decoration-color-recalc-002_html | self-pass | 0.36% | 0.65% |
| css_css-text-decor_text-decoration-color-recalc_html | POLLUTED | 0.04% | 2.47% |
| css_css-text-decor_text-decoration-color-selection-pseudo-01_html | self-pass | 0.00% | 0.57% |
| css_css-text-decor_text-decoration-color_html | self-fail | 3.59% | 6.61% |
| css_css-text-decor_text-decoration-decorating-box-001_html | self-pass | 0.00% | 0.13% |
| css_css-text-decor_text-decoration-dotted-001_html | POLLUTED | 0.15% | 11.29% |
| css_css-text-decor_text-decoration-dotted-002_html | self-fail | 8.02% | 15.25% |
| css_css-text-decor_text-decoration-inset-001_html | POLLUTED | 0.20% | 1.59% |
| css_css-text-decor_text-decoration-inset-002_html | POLLUTED | 0.20% | 1.64% |
| css_css-text-decor_text-decoration-inset-003_html | POLLUTED | 0.20% | 1.64% |
| css_css-text-decor_text-decoration-inset-004_html | POLLUTED | 0.00% | 2.39% |
| css_css-text-decor_text-decoration-inset-005_html | POLLUTED | 0.00% | 2.58% |
| css_css-text-decor_text-decoration-inset-006_html | POLLUTED | 0.12% | 2.57% |
| css_css-text-decor_text-decoration-inset-007_html | POLLUTED | 0.20% | 2.23% |
| css_css-text-decor_text-decoration-inset-008_html | POLLUTED | 0.19% | 2.20% |
| css_css-text-decor_text-decoration-inset-009_html | POLLUTED | 0.10% | 3.07% |
| css_css-text-decor_text-decoration-inset-011_html | POLLUTED | 0.27% | 4.86% |
| css_css-text-decor_text-decoration-inset-012_html | POLLUTED | 0.08% | 1.54% |
