source_path	manifest_sha	subtests	decision	hidden_dependencies	rationale
service-workers/service-worker/about-blank-replacement.https.html	b6efe3ec5620d1c83deb305f2c1ebe008a6a23e2	7	skip-multi-context-clients	nested-iframes;popup;about-blank;srcdoc;clients.matchAll;client-id;dynamic-server	初始 about:blank/srcdoc 与最终 Client identity、popup 和 nested client 可见性
service-workers/service-worker/active.https.html	350a34b802f70d6b6c78e6fdba9b2acabe7d143c	2	defer-controller-state	iframe;registration.active;controller;object-identity	未控制 iframe 上 active worker getter 与 controller 初始状态
service-workers/service-worker/controller-on-disconnect.https.html	f23dfe71bac505f1cc396bcab191dbee7a6461f4	1	defer-controller-context	iframe;detached-window;controller	移除 iframe 后其 container.controller 必须清空
service-workers/service-worker/controller-on-load.https.html	e4c5e5f81f8139e1c788f068f716cdbb367fb83e	1	defer-controller-context	iframe;controller;cross-global-identity	新 document load 时 controller 与 registration.active 的跨 global 投影
service-workers/service-worker/controller-on-reload.https.html	2e966d425788c0a02b1bb25a4c045089fede5ce7	1	defer-controller-context	iframe;reload;controller;cross-global-identity	注册后 reload 才获得 controller，并验证对象投影
service-workers/service-worker/css-sw-same-origin-substitution.https.html	3a79c07f95c257c58ca834ebefe915a063aeb795	1	defer-fetch-css-substitution	fetch-interception;cross-origin-request;same-origin-response;CSSOM;iframe	SW 以同源 Response 替换跨源 CSS 请求后 stylesheet 不应被 taint
service-workers/service-worker/data-iframe.html	d767d574345bf7058d58381d94e5dabffd1fca9e	1	skip-data-url-context	data-url;opaque-origin;iframe;postMessage	data iframe 中 navigator.serviceWorker 必须不可用
service-workers/service-worker/detached-context.https.html	ce8e4cc8400c6a457c968a9d1250fde829369ed3	4	defer-detached-context	iframe;detached-global;register;controller;object-lifetime	从 detached iframe 保存的 container/registration/worker getter 与方法语义
service-workers/service-worker/embed-and-object-are-not-intercepted.https.html	581dbeca9772268ab85a2b50d8f7f45cf61e781f	8	skip-embed-object-platform	embed;object;image;navigation;dynamic-server;iframe;fetch-observation	embed/object 的 document/image/navigation 请求不得进入 SW fetch
service-workers/service-worker/extendable-event-async-waituntil.https.html	04e98266b4f1a0b6ec572e1c317ab852fc2e4480	14	defer-extendable-event-lifetime	MessageEvent;FetchEvent;waitUntil;respondWith;task;microtask;iframe	waitUntil 在 dispatch/extension promise 的 task/microtask 边界
service-workers/service-worker/extendable-event-waituntil.https.html	33b4eac5c185e911023094f210ce4db9b6dddadb	6	defer-extendable-event-lifetime	install;activate;waitUntil;multiple-promises;rejection;MessageChannel	install/activate lifetime promise fulfilled/rejected 与 precedence
service-workers/service-worker/immutable-prototype-serviceworker.https.html	e63f6b348a861345101670b9c3d87aaa4977b0c4	1	defer-worker-global-prototype	ServiceWorkerGlobalScope;prototype-chain;MessageChannel	SW global 五级 prototype chain 必须不可变
service-workers/service-worker/indexeddb.https.html	be9be4968f7b2d0cbc1f18f88b06b7acb6ad096f	3	defer-worker-indexeddb	IndexedDB;transaction;MessageChannel;waitUntil;cleanup	worker 创建 DB/写值，window 读取，并动态注册 registration/database cleanup
service-workers/service-worker/local-url-inherit-controller.https.html	867e1b006d658ffad99b914f16b179b220700d2f	9	skip-local-url-worker-clients	blob-url;data-url;iframe;DedicatedWorker;SharedWorker;controller;fetch-interception	blob/data iframe 与 worker/sharedworker 的 controller 继承和 fetch 行为
service-workers/service-worker/mime-sniffing.https.html	8175bcdf87790b3560bd5e5a49f4da94b1175a04	1	gated-mime-sniffing	fetch-interception;synthetic-response;HTML-parser;iframe	SW Response 无/异 MIME 时 navigation document 的 sniffing 与 DOM
service-workers/service-worker/multi-globals/url-parsing.https.html	b9dfe3634353382e85dd0f7be4ea5b69c8083e08	3	defer-multi-global-url-parsing	incumbent-global;relevant-global;module-worker;register	URL parser 必须按 incumbent/relevant global 解析 scriptURL/scope
service-workers/service-worker/multipart-image.https.html	00c20d25f90ac38c33ba57ced62d82798481dd42	6	skip-media-multipart	multipart-image;canvas;CORS;cross-origin;fetch-interception;iframe	同源/跨源 CORS/no-cors multipart image 可读性与加载失败
service-workers/service-worker/nested-blob-url-workers.https.html	7269cbb701fabc2faa746f6ed47fba8fa9d423c8	3	skip-nested-worker-clients	blob-url;DedicatedWorker;nested-worker;iframe;fetch-interception	blob worker 创建 nested worker 和 worker 内创建 blob worker 的控制/拦截
service-workers/service-worker/opaque-script.https.html	7d2121855dfa17649b81fd96aad03d93e85be22b	4	gated-cross-origin-opaque-script	cross-origin;no-cors;opaque-response;script;worker;iframe	SW 提供 opaque script 给 classic/module/worker 加载的阻断语义
service-workers/service-worker/partitioned-cookies.tentative.https.html	7a8bd3f5cf85ee94418fefe2840e3cd4a27dab9d	1	skip-partitioned-storage	partitioned-cookie;third-party-window;importScripts;postMessage;cross-site	一方/三方 partition 中 SW 对 partitioned/unpartitioned cookie 的 HTTP/JS/import 可见性
service-workers/service-worker/partitioned-matchAll.tentative.https.html	46beec819c8ea91892706969af827ef6ed8b1a93	1	skip-partitioned-storage	partitioned-service-worker;third-party-iframe;clients.matchAll;postMessage	一方与三方 partition 的 clients.matchAll 隔离
service-workers/service-worker/partitioned.tentative.https.html	17a375f9c7320291e64178695cfce8c21fae1773	2	skip-partitioned-storage	partitioned-service-worker;third-party-window;nested-iframe;fetch-interception;postMessage	A-B 与 A-B-A top-level/ancestor partition 的 SW identity 和 fetch
service-workers/service-worker/same-site-cookies.https.html	1d9b60d4470194abe40abc3b49e377afa7a41dde	66	skip-cookie-multi-context	SameSite-cookie;popup;nested-window;cross-site;redirect;GET;POST;navigation-preload	origin/site/nested/redirect/SW action 大矩阵的 cookie 附带行为
service-workers/service-worker/sandboxed-iframe-navigator-serviceworker.https.html	70be6ef9b0a956707384030b1be17b702663976f	4	gated-sandbox-context	iframe;sandbox;allow-scripts;allow-same-origin;SecurityError;navigator.serviceWorker	不同 sandbox flags 与动态切换时 container exposure
service-workers/service-worker/secure-context.https.html	666a5d378760b54fd0f4fa86f9db7a05e2be5b5a	1	gated-secure-context	HTTP-window;HTTPS-iframe;popup;fetch-interception;clients;MessageEvent	不安全 top-level 下 HTTPS iframe 必须绕过 SW
service-workers/service-worker/service-worker-csp-connect.https.html	226f4a40e4e9ab40bbeeac4e874208af3106d2da	5	gated-service-worker-csp	dynamic-CSP;connect-src;cross-origin;importScripts;eval;fetch;redirect	1 wrapper + worker 内 import/eval/fetch/redirect fetch 四项
service-workers/service-worker/service-worker-csp-default.https.html	1d4e7624d861bc1ce1fde706409cfad160978c41	5	gated-service-worker-csp	dynamic-CSP;default-src;cross-origin;importScripts;eval;fetch;redirect	1 wrapper + worker 内 import/eval/fetch/redirect fetch 四项
service-workers/service-worker/service-worker-csp-script.https.html	14c2eb72bdc49c4e13fa2d9da4a47be785b072f2	5	gated-service-worker-csp	dynamic-CSP;script-src;cross-origin;importScripts;eval;fetch;redirect	1 wrapper + worker 内 import/eval/fetch/redirect fetch 四项
service-workers/service-worker/service-worker-header.https.html	fb902cd1b455d130c899cf06bf05c32184d2b543	1	gated-service-worker-request-header	dynamic-request-header-capture;importScripts;update-job;Service-Worker-header	主脚本 fetch 必须带 Service-Worker header，imported script 不带
service-workers/service-worker/skip-waiting.https.html	f8392fc955b46cdd9f1deb5a7319b8f3f35d91dd	1	defer-controller-skipwaiting	iframe;active-waiting;skipWaiting;controller	同时存在 active/waiting worker 时 skipWaiting 激活替换
service-workers/service-worker/srcdoc-iframe.https.html	9c1c88e15a8ed0bc9d7232bbe347e7bf53b3ab8e	5	defer-srcdoc-controller	srcdoc;sandbox;controller;getRegistration;postMessage;fetch-interception	嵌套 srcdoc 的 controller 继承、资源拦截、registration 与消息
