context	generated_url	ordinal	chrome_127_status	subtest
window	service-workers/idlharness.https.any.html	1	Pass	idl_test setup
window	service-workers/idlharness.https.any.html	2	Pass	idl_test validation
window	service-workers/idlharness.https.any.html	3	Pass	Partial interface Navigator: original interface defined
window	service-workers/idlharness.https.any.html	4	Pass	Partial interface Navigator: member names are unique
window	service-workers/idlharness.https.any.html	5	Pass	Partial interface WorkerNavigator: original interface defined
window	service-workers/idlharness.https.any.html	6	Pass	Partial interface WorkerNavigator: member names are unique
window	service-workers/idlharness.https.any.html	7	Pass	Partial interface mixin WindowOrWorkerGlobalScope: original interface mixin defined
window	service-workers/idlharness.https.any.html	8	Pass	Partial interface mixin WindowOrWorkerGlobalScope: member names are unique
window	service-workers/idlharness.https.any.html	9	Pass	Partial interface Navigator[2]: member names are unique
window	service-workers/idlharness.https.any.html	10	Pass	Partial interface mixin NavigatorID: member names are unique
window	service-workers/idlharness.https.any.html	11	Pass	Partial interface Window: member names are unique
window	service-workers/idlharness.https.any.html	12	Pass	ServiceWorker includes AbstractWorker: member names are unique
window	service-workers/idlharness.https.any.html	13	Pass	Window includes GlobalEventHandlers: member names are unique
window	service-workers/idlharness.https.any.html	14	Pass	Window includes WindowEventHandlers: member names are unique
window	service-workers/idlharness.https.any.html	15	Pass	Window includes WindowOrWorkerGlobalScope: member names are unique
window	service-workers/idlharness.https.any.html	16	Pass	WorkerGlobalScope includes WindowOrWorkerGlobalScope: member names are unique
window	service-workers/idlharness.https.any.html	17	Pass	Navigator includes NavigatorID: member names are unique
window	service-workers/idlharness.https.any.html	18	Pass	Navigator includes NavigatorLanguage: member names are unique
window	service-workers/idlharness.https.any.html	19	Pass	Navigator includes NavigatorOnLine: member names are unique
window	service-workers/idlharness.https.any.html	20	Pass	Navigator includes NavigatorContentUtils: member names are unique
window	service-workers/idlharness.https.any.html	21	Pass	Navigator includes NavigatorCookies: member names are unique
window	service-workers/idlharness.https.any.html	22	Pass	Navigator includes NavigatorPlugins: member names are unique
window	service-workers/idlharness.https.any.html	23	Pass	Navigator includes NavigatorConcurrentHardware: member names are unique
window	service-workers/idlharness.https.any.html	24	Pass	Window includes AnimationFrameProvider: member names are unique
window	service-workers/idlharness.https.any.html	25	Pass	WorkerNavigator includes NavigatorID: member names are unique
window	service-workers/idlharness.https.any.html	26	Pass	WorkerNavigator includes NavigatorLanguage: member names are unique
window	service-workers/idlharness.https.any.html	27	Pass	WorkerNavigator includes NavigatorOnLine: member names are unique
window	service-workers/idlharness.https.any.html	28	Pass	WorkerNavigator includes NavigatorConcurrentHardware: member names are unique
window	service-workers/idlharness.https.any.html	29	Pass	Window includes WindowSessionStorage: member names are unique
window	service-workers/idlharness.https.any.html	30	Pass	Window includes WindowLocalStorage: member names are unique
window	service-workers/idlharness.https.any.html	31	Pass	ServiceWorker interface: existence and properties of interface object
window	service-workers/idlharness.https.any.html	32	Pass	ServiceWorker interface object length
window	service-workers/idlharness.https.any.html	33	Pass	ServiceWorker interface object name
window	service-workers/idlharness.https.any.html	34	Pass	ServiceWorker interface: existence and properties of interface prototype object
window	service-workers/idlharness.https.any.html	35	Pass	ServiceWorker interface: existence and properties of interface prototype object's "constructor" property
window	service-workers/idlharness.https.any.html	36	Pass	ServiceWorker interface: existence and properties of interface prototype object's @@unscopables property
window	service-workers/idlharness.https.any.html	37	Pass	ServiceWorker interface: attribute scriptURL
window	service-workers/idlharness.https.any.html	38	Pass	ServiceWorker interface: attribute state
window	service-workers/idlharness.https.any.html	39	Pass	ServiceWorker interface: operation postMessage(any, sequence<object>)
window	service-workers/idlharness.https.any.html	40	Pass	ServiceWorker interface: operation postMessage(any, optional StructuredSerializeOptions)
window	service-workers/idlharness.https.any.html	41	Pass	ServiceWorker interface: attribute onstatechange
window	service-workers/idlharness.https.any.html	42	Pass	ServiceWorker must be primary interface of registrationInstance.installing
window	service-workers/idlharness.https.any.html	43	Pass	Stringification of registrationInstance.installing
window	service-workers/idlharness.https.any.html	44	Pass	ServiceWorker interface: registrationInstance.installing must inherit property "scriptURL" with the proper type
window	service-workers/idlharness.https.any.html	45	Pass	ServiceWorker interface: registrationInstance.installing must inherit property "state" with the proper type
window	service-workers/idlharness.https.any.html	46	Pass	ServiceWorker interface: registrationInstance.installing must inherit property "postMessage(any, sequence<object>)" with the proper type
window	service-workers/idlharness.https.any.html	47	Pass	ServiceWorker interface: calling postMessage(any, sequence<object>) on registrationInstance.installing with too few arguments must throw TypeError
window	service-workers/idlharness.https.any.html	48	Pass	ServiceWorker interface: registrationInstance.installing must inherit property "postMessage(any, optional StructuredSerializeOptions)" with the proper type
window	service-workers/idlharness.https.any.html	49	Pass	ServiceWorker interface: calling postMessage(any, optional StructuredSerializeOptions) on registrationInstance.installing with too few arguments must throw TypeError
window	service-workers/idlharness.https.any.html	50	Pass	ServiceWorker interface: registrationInstance.installing must inherit property "onstatechange" with the proper type
window	service-workers/idlharness.https.any.html	51	Pass	ServiceWorkerRegistration interface: existence and properties of interface object
window	service-workers/idlharness.https.any.html	52	Pass	ServiceWorkerRegistration interface object length
window	service-workers/idlharness.https.any.html	53	Pass	ServiceWorkerRegistration interface object name
window	service-workers/idlharness.https.any.html	54	Pass	ServiceWorkerRegistration interface: existence and properties of interface prototype object
window	service-workers/idlharness.https.any.html	55	Pass	ServiceWorkerRegistration interface: existence and properties of interface prototype object's "constructor" property
window	service-workers/idlharness.https.any.html	56	Pass	ServiceWorkerRegistration interface: existence and properties of interface prototype object's @@unscopables property
window	service-workers/idlharness.https.any.html	57	Pass	ServiceWorkerRegistration interface: attribute installing
window	service-workers/idlharness.https.any.html	58	Pass	ServiceWorkerRegistration interface: attribute waiting
window	service-workers/idlharness.https.any.html	59	Pass	ServiceWorkerRegistration interface: attribute active
window	service-workers/idlharness.https.any.html	60	Pass	ServiceWorkerRegistration interface: attribute navigationPreload
window	service-workers/idlharness.https.any.html	61	Pass	ServiceWorkerRegistration interface: attribute scope
window	service-workers/idlharness.https.any.html	62	Pass	ServiceWorkerRegistration interface: attribute updateViaCache
window	service-workers/idlharness.https.any.html	63	Pass	ServiceWorkerRegistration interface: operation update()
window	service-workers/idlharness.https.any.html	64	Pass	ServiceWorkerRegistration interface: operation unregister()
window	service-workers/idlharness.https.any.html	65	Pass	ServiceWorkerRegistration interface: attribute onupdatefound
window	service-workers/idlharness.https.any.html	66	Pass	ServiceWorkerRegistration must be primary interface of registrationInstance
window	service-workers/idlharness.https.any.html	67	Pass	Stringification of registrationInstance
window	service-workers/idlharness.https.any.html	68	Pass	ServiceWorkerRegistration interface: registrationInstance must inherit property "installing" with the proper type
window	service-workers/idlharness.https.any.html	69	Pass	ServiceWorkerRegistration interface: registrationInstance must inherit property "waiting" with the proper type
window	service-workers/idlharness.https.any.html	70	Pass	ServiceWorkerRegistration interface: registrationInstance must inherit property "active" with the proper type
window	service-workers/idlharness.https.any.html	71	Pass	ServiceWorkerRegistration interface: registrationInstance must inherit property "navigationPreload" with the proper type
window	service-workers/idlharness.https.any.html	72	Pass	ServiceWorkerRegistration interface: registrationInstance must inherit property "scope" with the proper type
window	service-workers/idlharness.https.any.html	73	Pass	ServiceWorkerRegistration interface: registrationInstance must inherit property "updateViaCache" with the proper type
window	service-workers/idlharness.https.any.html	74	Pass	ServiceWorkerRegistration interface: registrationInstance must inherit property "update()" with the proper type
window	service-workers/idlharness.https.any.html	75	Pass	ServiceWorkerRegistration interface: registrationInstance must inherit property "unregister()" with the proper type
window	service-workers/idlharness.https.any.html	76	Pass	ServiceWorkerRegistration interface: registrationInstance must inherit property "onupdatefound" with the proper type
window	service-workers/idlharness.https.any.html	77	Pass	ServiceWorkerContainer interface: existence and properties of interface object
window	service-workers/idlharness.https.any.html	78	Pass	ServiceWorkerContainer interface object length
window	service-workers/idlharness.https.any.html	79	Pass	ServiceWorkerContainer interface object name
window	service-workers/idlharness.https.any.html	80	Pass	ServiceWorkerContainer interface: existence and properties of interface prototype object
window	service-workers/idlharness.https.any.html	81	Pass	ServiceWorkerContainer interface: existence and properties of interface prototype object's "constructor" property
window	service-workers/idlharness.https.any.html	82	Pass	ServiceWorkerContainer interface: existence and properties of interface prototype object's @@unscopables property
window	service-workers/idlharness.https.any.html	83	Pass	ServiceWorkerContainer interface: attribute controller
window	service-workers/idlharness.https.any.html	84	Pass	ServiceWorkerContainer interface: attribute ready
